Episode,Title,Volume,Year,Date,Chapter,Arc,Author
328,Girl of the Roaring Shallows,35,2010,2010-06-25,Elf Island,Fantasia,Kentarou Miura
329,Denizens of the Sinister Sea,35,2010,2010-07-09,Elf Island,Fantasia,Kentarou Miura
330,Human Tentacles,35,2010,2010-07-23,Elf Island,Fantasia,Kentarou Miura
331,Tentacled Ship,35,2010,2010-10-22,Elf Island,Fantasia,Kentarou Miura
332,Full Moon,36,2010,2010-11-12,Elf Island,Fantasia,Kentarou Miura
333,Full Moon,36,2010,2010-11-26,Elf Island,Fantasia,Kentarou Miura
334,Beast Warrior,36,2011,2011-04-08,Elf Island,Fantasia,Kentarou Miura
335,Sea God,36,2011,2011-04-22,Elf Island,Fantasia,Kentarou Miura
336,Sea God,36,2011,2011-05-13,Elf Island,Fantasia,Kentarou Miura
337,Sea God,36,2011,2011-06-24,Elf Island,Fantasia,Kentarou Miura
338,Booming Heart,36,2011,2011-07-08,Elf Island,Fantasia,Kentarou Miura
339,Call from the Deep,36,2011,2011-07-22,Elf Island,Fantasia,Kentarou Miura
340,Merrow,36,2011,2011-09-23,Elf Island,Fantasia,Kentarou Miura
341,Merrow,37,2012,2012-01-27,Elf Island,Fantasia,Kentarou Miura
342,Siren,37,2012,2012-02-10,Elf Island,Fantasia,Kentarou Miura
343,Surfacing,37,2012,2012-06-08,Elf Island,Fantasia,Kentarou Miura
344,Shooting Star,37,2012,2012-06-22,Elf Island,Fantasia,Kentarou Miura
345,Spring Flower of Days Long Passed,37,2012,2012-07-13,Elf Island,Fantasia,Kentarou Miura
346,Spring Flower of Days Long Passed,37,2012,2012-10-12,Elf Island,Fantasia,Kentarou Miura
347,Spring Flower of Days Long Passed,37,2012,2012-10-26,Elf Island,Fantasia,Kentarou Miura
348,Covered Wagon,37,2012,2012-12-28,Elf Island,Fantasia,Kentarou Miura
349,Paradise,37,2014,2014-04-11,Elf Island,Fantasia,Kentarou Miura
350,Capital City of Humanity,38,2014,2014-05-23,Elf Island,Fantasia,Kentarou Miura
351,Divine Right of Kings,38,2014,2014-08-08,Elf Island,Fantasia,Kentarou Miura
352,Pandemonium,38,2014,2014-09-26,Elf Island,Fantasia,Kentarou Miura
353,Bridge of Parting,38,2015,2015-07-24,Elf Island,Fantasia,Kentarou Miura
354,Twilight Assassin,38,2015,2015-08-28,Elf Island,Fantasia,Kentarou Miura
355,Capital City in the Moonlight,38,2015,2015-09-25,Elf Island,Fantasia,Kentarou Miura
356,Night Battle,38,2015,2015-10-23,Elf Island,Fantasia,Kentarou Miura
357,Soaring Escape,38,2015,2015-11-27,Elf Island,Fantasia,Kentarou Miura
358,Landing,38,2015,2015-12-25,Elf Island,Fantasia,Kentarou Miura
359,Blazing Puppet,39,2016,2016-06-24,Elf Island,Fantasia,Kentarou Miura
360,Village of Witches,39,2016,2016-07-22,Elf Island,Fantasia,Kentarou Miura
361,Great Gurus,39,2016,2016-08-26,Elf Island,Fantasia,Kentarou Miura
362,Elfhelm,39,2016,2016-09-23,Elf Island,Fantasia,Kentarou Miura
363,Flower Storm Monarch,39,2017,2017-03-24,Elf Island,Fantasia,Kentarou Miura
364,Gloomy Wasteland,39,2017,2017-04-28,Elf Island,Fantasia,Kentarou Miura
365,Corridor of Dreams,39,2017,2017-05-26,Elf Island,Fantasia,Kentarou Miura
366,Fragments of Memories,39,2017,2017-06-23,Elf Island,Fantasia,Kentarou Miura
Official Guidebook,Official Guidebook,Guidebook,2016,2016-09-23,Official Guidebook,Official Guidebook,Others
367,Forest of Corpses and Thorny Cedars,40,2017,2017-12-22,Elf Island,Fantasia,Kentarou Miura
368,Main Cause,40,2018,2018-01-26,Elf Island,Fantasia,Kentarou Miura
369,Final Fragment,40,2018,2018-02-23,Elf Island,Fantasia,Kentarou Miura
370,Awakening,40,2018,2018-03-23,Elf Island,Fantasia,Kentarou Miura
371,Beneath Sun-Dappled Trees,40,2018,2018-04-27,Elf Island,Fantasia,Kentarou Miura
372,Jötunn,40,2018,2018-05-25,Elf Island,Fantasia,Kentarou Miura
373,Triumphant Return at Dawn,40,2018,2018-08-24,Elf Island,Fantasia,Kentarou Miura
374,Dawn of an Empire,41,2019,2019-04-26,Elf Island,Fantasia,Kentarou Miura
375,Barrier,41,2019,2019-08-23,Elf Island,Fantasia,Kentarou Miura
376,Cherry Orchard,41,2020,2020-04-24,Elf Island,Fantasia,Kentarou Miura
377,Gorge,41,2020,2020-07-22,Elf Island,Fantasia,Kentarou Miura
378,Phantom Death,41,2020,2020-10-23,Elf Island,Fantasia,Kentarou Miura
379,Leaping Monkey,41,2021,2021-01-22,Elf Island,Fantasia,Kentarou Miura
380,Teardrop of Morning Dew,41,2021,2021-09-10,Elf Island,Fantasia,Kentarou Miura
381,Lull of the Waning Moon,42,2022,2022-06-24,Elf Island,Fantasia,Kouji Mori
382,Eye of the Maelstrom,42,2022,2022-06-24,Elf Island,Fantasia,Kouji Mori
383,Mistful Fading of the Cherry Blossoms,42,2022,2022-07-08,Elf Island,Fantasia,Kouji Mori
384,Devourers,42,2022,2022-08-12,Elf Island,Fantasia,Kouji Mori
385,Fading Isle,42,2022,2022-09-09,Elf Island,Fantasia,Kouji Mori
386,Refugees on the West Sea,42,2022,2022-10-14,Elf Island,Fantasia,Kouji Mori
387,A Dying Light in the Pitch Black Night,42,2022,2022-12-09,Elf Island,Fantasia,Kouji Mori
388,The Red Raven Sleeps in the Birdcage,42,2023,2023-04-28,Elf Island,Fantasia,Kouji Mori
389,Rusty Iron Rings That Bind,42,2023,2023-05-26,Elf Island,Fantasia,Kouji Mori
390,Is the Sleeping Dark Beast Just Standing Quietly?,43,2023,2023-09-22,Eastern Exile Chapter,Fantasia,Kouji Mori
391,The Morning After a Steady Foggy Night,43,2023,2023-11-10,Eastern Exile Chapter,Fantasia,Kouji Mori
392,Water's Wavering Surface and War's Shadow,43,2024,2024-04-26,Eastern Exile Chapter,Fantasia,Kouji Mori
393,A Viper in the Bosom,43,2024,2024-10-25,Eastern Exile Chapter,Fantasia,Kouji Mori
394,Uninvited Assassin,43,2024,2024-11-08,Eastern Exile Chapter,Fantasia,Kouji Mori
395,Those Who Dance Through the Depths of Hell,43,2025,2025-02-14,Eastern Exile Chapter,Fantasia,Kouji Mori
396,Shadows Die Twice,43,2025,2025-02-28,Eastern Exile Chapter,Fantasia,Kouji Mori
397,A Crescent Moon Shines on the Exile's Back,43,2025,2025-06-13,Eastern Exile Chapter,Fantasia,Kouji Mori
398,The Burial Chamber,43,2025,2025-06-27,Eastern Exile Chapter,Fantasia,Kouji Mori
399,Anādi Avidyā,44,2025,2025-09-12,Eastern Exile Chapter,Fantasia,Kouji Mori
